model,level,true_label,mean_prob_fake,std_prob_fake,mean_margin,std_margin,accuracy_overall,n
clip,0,0,0.0008083051290983955,0.004568205868370398,-10.404019409179687,2.6111304455589432,0.9996666666666667,1500
clip,0,1,0.9960057245890299,0.034768113467015006,8.50567621866862,2.242998632178884,0.9996666666666667,1500
clip,1,0,0.0012622464541345835,0.0067244386110966855,-9.914626047770183,2.5912676501473033,0.9993333333333333,1500
clip,1,1,0.9954859415690104,0.04045924236409152,8.487337656656901,2.279009971129637,0.9993333333333333,1500
clip,2,0,0.0030532411461075145,0.015634837463132815,-8.460515584309896,2.3421364805969653,0.9906666666666667,1500
clip,2,1,0.9545509872436524,0.11638790264513242,4.908212443033854,2.2917827026509396,0.9906666666666667,1500
clip,3,0,0.0023679276319841544,0.012494313844396896,-8.51320374552409,2.2387353487636688,0.8863333333333333,1500
clip,3,1,0.712625431060791,0.28257559977706054,1.513864636739095,2.116422930813189,0.8863333333333333,1500
clip,4,0,0.0030705551120142143,0.013699425486128835,-8.138884297688803,2.1583599963538727,0.729,1500
clip,4,1,0.47321501350402834,0.3006475908587628,-0.1606462062994639,1.8532848514394022,0.729,1500
clip,5,0,0.006198513805866241,0.02832494359462895,-7.433760284423828,2.14218573954439,0.788,1500
clip,5,1,0.5597684745788574,0.29909782416104386,0.3770361736615499,1.8629666943540093,0.788,1500
clip,6,0,0.00976633391280969,0.038506995380823215,-6.7573404846191405,2.091946101347447,0.874,1500
clip,6,1,0.6855334447224934,0.2788679914982215,1.2324407475789387,1.885955243265929,0.874,1500
clip,7,0,0.013663665011525154,0.0457028228104629,-6.211916320800781,2.0073491281930567,0.891,1500
clip,7,1,0.7182980486551921,0.2646752490908236,1.4667787857055663,1.8554807541577663,0.891,1500
clip,8,0,0.02159472029407819,0.06293799028014388,-5.573826263427734,1.9439744839472064,0.908,1500
clip,8,1,0.7487414398193359,0.2521766783490004,1.6962528953552245,1.85357694266787,0.908,1500
clip,9,0,0.034770487626393634,0.08670924693995906,-4.886106287638347,1.9130104819469838,0.9303333333333333,1500
clip,9,1,0.7902288475036621,0.2298697588646274,2.045330182393392,1.8428445081859977,0.9303333333333333,1500
clip,10,0,0.0571936594247818,0.1153542368038116,-4.146901713053386,1.8820590063374991,0.9416666666666667,1500
clip,10,1,0.8283230705261231,0.20590345531533671,2.3990177408854167,1.8528772970941583,0.9416666666666667,1500
convnext,0,0,0.23355575211842855,0.2270376424969903,-1.853612060546875,1.827845677416517,0.6963333333333334,1500
convnext,0,1,0.557145263671875,0.27930448986896284,0.45846065266927083,1.725619462658334,0.6963333333333334,1500
convnext,1,0,0.237239444732666,0.23059953091627103,-1.8269096272786458,1.8353795540079978,0.683,1500
convnext,1,1,0.545826639811198,0.28280104621135527,0.4064891459147135,1.7562754356645103,0.683,1500
convnext,2,0,0.2950605217615763,0.2659034754021861,-1.416979777018229,1.894356770036251,0.6486666666666666,1500
convnext,2,1,0.5583949178059896,0.2882161578571053,0.5238072408040365,1.862966122721511,0.6486666666666666,1500
convnext,3,0,0.3759542013804118,0.2869722801792507,-0.8265075276692708,1.8454192874247375,0.6496666666666666,1500
convnext,3,1,0.6226217244466146,0.28008269516525847,0.9479035339355468,1.9432103843567823,0.6496666666666666,1500
convnext,4,0,0.5799039618174235,0.30281781936865654,0.45017462158203125,1.8672469756655057,0.6346666666666667,1500
convnext,4,1,0.7905664876302083,0.21309211994155355,2.1248653157552084,1.930982451846046,0.6346666666666667,1500
convnext,5,0,0.6681386884053548,0.2979103594660037,1.0830152180989583,1.977972648288098,0.6003333333333334,1500
convnext,5,1,0.83192138671875,0.19308063514462623,2.498034871419271,1.8971588827347383,0.6003333333333334,1500
convnext,6,0,0.6831917139689128,0.28983609670956645,1.1879606119791666,1.916142924021166,0.6093333333333333,1500
convnext,6,1,0.8669399007161458,0.16013304617647517,2.720202952067057,1.7217571553901794,0.6093333333333333,1500
convnext,7,0,0.7414877293904623,0.2588349792686591,1.5811654357910156,1.7991904865963737,0.5853333333333334,1500
convnext,7,1,0.90408154296875,0.12556516945113602,3.107881530761719,1.6374158789704656,0.5853333333333334,1500
convnext,8,0,0.8165280253092448,0.2159752950619355,2.1801790974934896,1.706164644295773,0.551,1500
convnext,8,1,0.9387002766927083,0.09182465099237476,3.667204833984375,1.6046385988479874,0.551,1500
convnext,9,0,0.8861391855875651,0.16246025332070949,2.8959153035481773,1.6214956216950196,0.5236666666666666,1500
convnext,9,1,0.9658108723958333,0.057594886992564265,4.33871923828125,1.5756261900906001,0.5236666666666666,1500
convnext,10,0,0.9349112243652343,0.11296859085284429,3.6199025065104165,1.5526588052418413,0.5086666666666667,1500
convnext,10,1,0.9825266927083334,0.03472759067046342,5.092931966145834,1.5537732610031518,0.5086666666666667,1500
vit,0,0,0.05949708779652913,0.1262473583326801,-4.450708984375,2.236238160459858,0.5756666666666667,1500
vit,0,1,0.2238443562189738,0.2927387901149158,-2.1659532470703127,2.5372308329783704,0.5756666666666667,1500
vit,1,0,0.059126280426979066,0.12524188178828108,-4.446359151204427,2.2270652345080864,0.5763333333333334,1500
vit,1,1,0.22560827763875327,0.2928674396909075,-2.1397398274739583,2.52694428922665,0.5763333333333334,1500
vit,2,0,0.058119134744008386,0.1220557263419734,-4.440314758300781,2.2099085155688507,0.5816666666666667,1500
vit,2,1,0.23171716276804605,0.29345820685205914,-2.054398600260417,2.493147152792341,0.5816666666666667,1500
vit,3,0,0.06312997651100159,0.1254316934419827,-4.248597839355469,2.1634046028415295,0.589,1500
vit,3,1,0.25094594383239743,0.2985654603458351,-1.8335584208170572,2.4387063154543225,0.589,1500
vit,4,0,0.22621479638417563,0.2622500532724276,-2.1586914876302083,2.2688139095184834,0.7063333333333334,1500
vit,4,1,0.5752240715026855,0.31235825432114284,0.5340196634928386,2.127998049288146,0.7063333333333334,1500
vit,5,0,0.2003508955637614,0.24020823655343426,-2.3305680338541666,2.140699424841465,0.6176666666666667,1500
vit,5,1,0.42346457608540855,0.32524162112141153,-0.41232406616210937,2.2397630639611354,0.6176666666666667,1500
vit,6,0,0.19001809406280518,0.23589531456949148,-2.3922700703938804,2.106655146469699,0.59,1500
vit,6,1,0.36570227750142414,0.3054521970704349,-0.8026486562093099,2.034673845327918,0.59,1500
vit,7,0,0.22652977466583252,0.26110166648200916,-2.059582102457682,2.121657781995027,0.6033333333333334,1500
vit,7,1,0.424941130956014,0.31156470662341035,-0.39758219401041667,2.048600241129552,0.6033333333333334,1500
vit,8,0,0.29695366764068604,0.29368352232547423,-1.4630664571126302,2.1706318568091074,0.6343333333333333,1500
vit,8,1,0.5192398516337077,0.31149082244102894,0.2125714314778646,2.0584210886053467,0.6343333333333333,1500
vit,9,0,0.39816719182332355,0.3184576639811812,-0.7037279052734375,2.191418513320768,0.6406666666666667,1500
vit,9,1,0.623150126139323,0.296171335119873,0.8898541666666666,2.028925260576622,0.6406666666666667,1500
vit,10,0,0.5200955829620362,0.3266114933139121,0.16518671671549479,2.2267294077445237,0.6436666666666667,1500
vit,10,1,0.7342280476888021,0.2609793709413734,1.6819052607218425,2.01561512254996,0.6436666666666667,1500
