level,true_label,mean_prob_fake,std_prob_fake,mean_margin,std_margin,accuracy_overall,n,model
0,0,0.000986127456029256,0.0059482274380447675,-10.049259114583334,2.5072637908113675,0.9993333333333333,1500,clip_pre_norm
0,1,0.9945255788167318,0.03518788712223032,7.649197591145834,2.138442319553345,0.9993333333333333,1500,clip_pre_norm
1,0,0.00017980774243672688,0.0009333447916722574,-10.780291666666667,1.944332557619206,0.8556666666666667,1500,clip_pre_norm
1,1,0.6576821339925131,0.2730978388705472,0.9924175109863281,1.7303245583857587,0.8556666666666667,1500,clip_pre_norm
2,0,0.00012678754329681395,0.0006711572693708955,-10.974,1.923031607254542,0.7643333333333333,1500,clip_pre_norm
2,1,0.5157314682006836,0.2917295341448541,0.08029393513997396,1.7262570857111221,0.7643333333333333,1500,clip_pre_norm
3,0,0.00015937399864196777,0.0008527362911617084,-10.757390625,1.9136093173758164,0.757,1500,clip_pre_norm
3,1,0.5017227872212728,0.3025112692740893,-0.02144597371419271,1.823560288103915,0.757,1500,clip_pre_norm
4,0,0.0002196089824040731,0.0010281677577870252,-10.372861979166666,1.899108245489359,0.723,1500,clip_pre_norm
4,1,0.4527395426432292,0.30148563261366756,-0.3447548624674479,1.8600793069938824,0.723,1500,clip_pre_norm
5,0,0.0003186753193537394,0.0014116450885853858,-9.957333333333333,1.8956015850799586,0.6826666666666666,1500,clip_pre_norm
5,1,0.39383098856608073,0.2896985259341885,-0.7009708862304688,1.8076456932255,0.6826666666666666,1500,clip_pre_norm
6,0,0.00044711180528004966,0.001861756305188736,-9.574841145833334,1.8854574370430006,0.6496666666666666,1500,clip_pre_norm
6,1,0.3444891662597656,0.2810099702283489,-1.0304863789876302,1.8352323844448073,0.6496666666666666,1500,clip_pre_norm
7,0,0.0005593327283859253,0.001989367478403837,-9.195674479166666,1.8509911849310496,0.6236666666666667,1500,clip_pre_norm
7,1,0.2987528069814046,0.265786614622853,-1.3455804545084635,1.8098812607758437,0.6236666666666667,1500,clip_pre_norm
8,0,0.0007767366965611775,0.0036621507160080253,-8.958791666666666,1.8290543715530234,0.5906666666666667,1500,clip_pre_norm
8,1,0.26110464159647623,0.2482530217729238,-1.6138936208089192,1.7851018420705058,0.5906666666666667,1500,clip_pre_norm
9,0,0.0008442883888880411,0.0031370181328955918,-8.774505208333334,1.815161031323202,0.577,1500,clip_pre_norm
9,1,0.2337649326324463,0.23301273134861358,-1.7912581481933594,1.7271338521643202,0.577,1500,clip_pre_norm
10,0,0.000972283403078715,0.003513416032733437,-8.63433984375,1.8169566725353716,0.5646666666666667,1500,clip_pre_norm
10,1,0.2091249532699585,0.22052074160861024,-1.9930904947916666,1.7350593351332653,0.5646666666666667,1500,clip_pre_norm
