level,true_label,mean_prob_fake,std_prob_fake,mean_margin,std_margin,accuracy_overall,n,model
0,0,0.000986127456029256,0.0059482274380447675,-10.049259114583334,2.5072637908113675,0.9993333333333333,1500,clip_pre_norm
0,1,0.9945255788167318,0.03518788712223032,7.649197591145834,2.138442319553345,0.9993333333333333,1500,clip_pre_norm
1,0,0.0011795531511306762,0.007105073929077472,-9.815565104166666,2.4815144130590485,0.9993333333333333,1500,clip_pre_norm
1,1,0.9949279225667318,0.0347490025358923,7.7472880859375,2.1166496593172286,0.9993333333333333,1500,clip_pre_norm
2,0,0.005609583655993144,0.025615795559482134,-8.018956136067708,2.4414017331684486,0.9993333333333333,1500,clip_pre_norm
2,1,0.9969458262125651,0.034897543125696165,8.9863642578125,2.147981793518046,0.9993333333333333,1500,clip_pre_norm
3,0,0.05341608158747355,0.12345922233894971,-4.721159362792969,2.281371111643604,0.9883333333333333,1500,clip_pre_norm
3,1,0.9963277893066407,0.03801470470616452,8.936201497395833,2.109121855587416,0.9883333333333333,1500,clip_pre_norm
4,0,0.2911289421717326,0.27571726781346645,-1.4371661173502603,2.001659195371866,0.8833333333333333,1500,clip_pre_norm
4,1,0.9928701934814453,0.05720149751529467,8.602895935058594,2.209235074972741,0.8833333333333333,1500,clip_pre_norm
5,0,0.6160844904581706,0.2934790443463598,0.7496749165852865,1.873113585179419,0.674,1500,clip_pre_norm
5,1,0.9926070912679037,0.060191650340203996,8.08177872721354,2.1372827809484862,0.674,1500,clip_pre_norm
6,0,0.774011225382487,0.2411150145199951,1.8960176798502604,1.8569311613807926,0.5693333333333334,1500,clip_pre_norm
6,1,0.9926609675089518,0.05952782673306808,8.188348592122395,2.2088729656883035,0.5693333333333334,1500,clip_pre_norm
7,0,0.8508514099121094,0.19683890429853718,2.6434458312988283,1.8500959641389827,0.5383333333333333,1500,clip_pre_norm
7,1,0.9897122650146485,0.06623716611700937,7.601474446614583,2.26836048377248,0.5383333333333333,1500,clip_pre_norm
8,0,0.8986029256184895,0.15394983482235858,3.2256495768229168,1.8080734276746344,0.5153333333333333,1500,clip_pre_norm
8,1,0.9805768636067709,0.08879052509579644,6.4613902994791665,2.247537157011088,0.5153333333333333,1500,clip_pre_norm
9,0,0.9216707356770834,0.12493881857927117,3.510634989420573,1.7232679892257405,0.502,1500,clip_pre_norm
9,1,0.9573947817484538,0.1244485823305972,4.984519775390625,2.1545593337250835,0.502,1500,clip_pre_norm
10,0,0.9459152018229167,0.10215712803228365,4.051304158528646,1.733796005321926,0.495,1500,clip_pre_norm
10,1,0.9478354860941569,0.13474777759309528,4.52233984375,2.07385350568015,0.495,1500,clip_pre_norm
