model,level,true_label,mean_prob_fake,std_prob_fake,mean_margin,std_margin,accuracy_overall,n
convnext,0,0,0.18331154378255207,0.2015742453556188,-2.299077555338542,1.864305163268048,0.6806666666666666,1500
convnext,0,1,0.4985635070800781,0.279087233038113,0.10681908162434896,1.6490068657386607,0.6806666666666666,1500
convnext,1,0,0.18740107917785645,0.20604767843746635,-2.2690379842122397,1.8755295563552048,0.6676666666666666,1500
convnext,1,1,0.4910658365885417,0.2811935284859846,0.07502522786458334,1.6726637948517502,0.6676666666666666,1500
convnext,2,0,0.23025608253479005,0.23921626240154545,-1.93121875,1.9229027848211795,0.6476666666666666,1500
convnext,2,1,0.5047492472330729,0.28590337108737296,0.18391716003417968,1.7531616335037745,0.6476666666666666,1500
convnext,3,0,0.2836524442036947,0.26174865578011264,-1.4665433247884114,1.860042050353171,0.6583333333333333,1500
convnext,3,1,0.561605000813802,0.28290582803582787,0.5382061564127604,1.8145585791364962,0.6583333333333333,1500
convnext,4,0,0.4573971932729085,0.3041178613022178,-0.325439697265625,1.881753364265091,0.661,1500
convnext,4,1,0.7221495768229167,0.2416756843786844,1.5619339803059895,1.8610553827902663,0.661,1500
convnext,5,0,0.5517148698170979,0.3160041066794011,0.2784809061686198,1.9723424758939774,0.6286666666666667,1500
convnext,5,1,0.760890380859375,0.22959260561760714,1.8298580627441405,1.8260990053407882,0.6286666666666667,1500
convnext,6,0,0.5624766578674316,0.31021013909800915,0.34494632975260414,1.9020403552471346,0.646,1500
convnext,6,1,0.800153076171875,0.2010085463219809,2.040426442464193,1.6749118672978536,0.646,1500
convnext,7,0,0.6259245986938476,0.2896670697150958,0.7456540323893229,1.7760992574982328,0.6303333333333333,1500
convnext,7,1,0.8467492268880208,0.16899920021909975,2.411608357747396,1.6089002471082507,0.6303333333333333,1500
convnext,8,0,0.7183126780192057,0.25764598632622493,1.3547197672526041,1.6877515794942002,0.5916666666666667,1500
convnext,8,1,0.8937389322916667,0.13475624261415736,2.9278632609049478,1.5884514806770715,0.5916666666666667,1500
convnext,9,0,0.8132668228149414,0.2079997241875279,2.0740121256510418,1.6007144441229366,0.5476666666666666,1500
convnext,9,1,0.9348447265625,0.09592648573119175,3.5584962158203126,1.567461545298612,0.5476666666666666,1500
convnext,10,0,0.8850945587158203,0.15720996001335033,2.7908385213216147,1.5290944452839197,0.5233333333333333,1500
convnext,10,1,0.9641525065104166,0.05927948591701831,4.266482747395833,1.5497130907371495,0.5233333333333333,1500
vit,0,0,0.03341803316275279,0.09076477012872865,-5.498870839436849,2.4475300981520847,0.556,1500
vit,0,1,0.1633688858350118,0.2712750982170103,-3.0835266825358074,2.8008096520254244,0.556,1500
vit,1,0,0.03297238059838613,0.08985433929494158,-5.504081899007161,2.440684528883143,0.5553333333333333,1500
vit,1,1,0.16433393700917562,0.271436205276258,-3.0618357950846353,2.791392377077366,0.5553333333333333,1500
vit,2,0,0.03139671691258748,0.0863116484599761,-5.525867431640625,2.417710588063419,0.5583333333333333,1500
vit,2,1,0.1677256841659546,0.27216853805611735,-2.9784457702636717,2.7579308348038727,0.5583333333333333,1500
vit,3,0,0.03327082510789235,0.08695838997190229,-5.36555419921875,2.381412270039455,0.5636666666666666,1500
vit,3,1,0.1802909239133199,0.27687639301020783,-2.7580504150390626,2.7080506945083824,0.5636666666666666,1500
vit,4,0,0.16195674339930216,0.230702003536337,-3.0083224283854166,2.498098343285575,0.656,1500
vit,4,1,0.4505197296142578,0.3287074671353625,-0.2800750223795573,2.3429053194623695,0.656,1500
vit,5,0,0.135040731271108,0.1988230518754559,-3.180736145019531,2.316698142813048,0.5976666666666667,1500
vit,5,1,0.3184951696395874,0.3242593213457478,-1.2729755045572917,2.569921829267791,0.5976666666666667,1500
vit,6,0,0.13293453152974447,0.20145486826267964,-3.2148982645670574,2.3082850122547973,0.5703333333333334,1500
vit,6,1,0.27483993403116863,0.29954963660970974,-1.5883089192708333,2.2767360397234007,0.5703333333333334,1500
vit,7,0,0.16679015970230102,0.2297128705633379,-2.8251586100260417,2.3454088893290312,0.5873333333333334,1500
vit,7,1,0.33742293230692544,0.3163406350583946,-1.0504696858723959,2.3115362555615238,0.5873333333333334,1500
vit,8,0,0.23498684565226238,0.27654290699533735,-2.1587234395345054,2.404043446235835,0.6053333333333333,1500
vit,8,1,0.43787168312072755,0.3298595661268685,-0.308901123046875,2.321506926971418,0.6053333333333333,1500
vit,9,0,0.3392783759435018,0.3194728198012301,-1.2641552734375,2.4407824320812983,0.6226666666666667,1500
vit,9,1,0.5591203702290853,0.3248801075374116,0.5433403116861979,2.303254974935593,0.6226666666666667,1500
vit,10,0,0.4749177792867025,0.34180537914183656,-0.22555855560302734,2.4588010838951315,0.6283333333333333,1500
vit,10,1,0.6952186533610026,0.2897195719934547,1.524317123413086,2.283377425722857,0.6283333333333333,1500
