model,level,true_label,mean_prob_fake,std_prob_fake,mean_margin,std_margin,accuracy_overall,n
clip,0,0,0.0009863323389242094,0.005940616667581548,-10.048689371744791,2.507577958144645,0.9996666666666667,1500
clip,0,1,0.9945170771280925,0.03508548528794671,7.65143174235026,2.1389502855503455,0.9996666666666667,1500
clip,1,0,0.0012521058203031619,0.00767564868011053,-9.769489685058593,2.486152568591678,0.9993333333333333,1500
clip,1,1,0.993264855702718,0.0425029161079756,7.481610727945964,2.19803666331942,0.9993333333333333,1500
clip,2,0,0.0016045410614460706,0.008372260765883748,-8.953323059082031,2.2365962185925485,0.9726666666666667,1500
clip,2,1,0.8940273272196452,0.1806500612279774,3.511257639567057,2.2217923145599605,0.9726666666666667,1500
clip,3,0,0.0010396051382025083,0.004058742686996367,-9.102803405761719,2.1280333030136394,0.77,1500
clip,3,1,0.5266144409179687,0.30806496702130837,0.16342253891626993,1.98337314082602,0.77,1500
clip,4,0,0.0010509137517462175,0.003986152448440624,-8.806942403157553,1.9600800863652152,0.5783333333333334,1500
clip,4,1,0.24469375658035278,0.23333420380438968,-1.63129656346639,1.6548039736513203,0.5783333333333334,1500
clip,5,0,0.0018244491225729387,0.00719558305969467,-8.224250183105468,1.9523981622335131,0.6246666666666667,1500
clip,5,1,0.32102958393096925,0.2612051772662559,-1.1057437426249186,1.6775838436819446,0.6246666666666667,1500
clip,6,0,0.003189933036764463,0.011539423588377203,-7.547948516845703,1.9049747809914488,0.7216666666666667,1500
clip,6,1,0.4570908622741699,0.28663344063069296,-0.26197988029321034,1.6867763380892364,0.7216666666666667,1500
clip,7,0,0.005193092696368694,0.017352423573990576,-6.9303107299804685,1.8401309747615677,0.7546666666666667,1500
clip,7,1,0.5033071358998616,0.2870729618059709,0.017672943751017252,1.6691186441545773,0.7546666666666667,1500
clip,8,0,0.008500891859332721,0.02570874016372116,-6.312097727457682,1.773941591918004,0.7796666666666666,1500
clip,8,1,0.542690533955892,0.2846829715261361,0.26040987769762675,1.6647530268852047,0.7796666666666666,1500
clip,9,0,0.014946221758921942,0.04245999248387372,-5.657682912190755,1.749051198615457,0.8106666666666666,1500
clip,9,1,0.5905552724202474,0.2791279644337771,0.5524683854579926,1.6525657661819637,0.8106666666666666,1500
clip,10,0,0.026372846444447835,0.062903725550544,-4.948208511352539,1.731197664537219,0.8556666666666667,1500
clip,10,1,0.6482046235402426,0.2651285967512418,0.9051897239685058,1.638427787524382,0.8556666666666667,1500
